id,source_count
67208841017880599389056416550779011353783549081219490204414382278490674915230,32
68008065399297680544066642553801024976085138982294258249687821797731994670579,32
44424822563706800605025489389536781865971320241717542892363939211263755472843,31
95305312180509765870931046288729002907539878653721926449013040149728960033326,30
87830992622308490435833984992361395035040394770417238684331295601435603722633,29
108275127973464494053093044052295521521335047190421655552034163198088516810493,29
83865779445917521561552364762800106996193355397324948861988595480471885525159,29
71079377550239537960607030769473198855800134812662799002798949152810358718665,29
86286716206522349876395649273233179955898718293792366919481381324257680162422,28
104947716681854243381037785330552785203158335380310370749672780611563048549274,28
104724862294807237557115649543417921029319819221351139675894657635946761402654,28
50386971807070423364458330000292481357034251442456874697923910707406810209318,28
102332056420914428992185968990389530474295022464695293976521878845607195404484,28
28933212525913580183043161849999136578846795174642160545496214989169728890890,28
54628020277246321066343873922867525394240000456750141711081459512030178868742,28
50989231904457222437421386976305967308171298235263066477673347456997622530864,28
51776565900209690792307580167458043004686620144843744482590811385776545190725,27
64724044391049249413359997713297062574047746382269122415963325041231208007836,27
33083911963479986297375316617127296092939779251552423003401456709623327902050,27
12961361890574368463037817033519605674324167153279316137023662565888445112504,27
102434472233148307106005763888646573401320837732437046400436337224945869953901,26
78300809430328822184351006507797132534996118933671752078634124787752324468296,26
113263208388218926197728707708848640086923537220496902428603899482041736885944,26
107097420777248083802390982694167156687044516505244249913996903386201589571974,25
90794901830330854266725153357348096308917149874863474132359432351350367070935,25
12039806830932679510476484300781199992990621331018499690313970477563172040294,25
100287046768883725059851210777638925227197639947799441147286920942427396787380,25
115222903558325014965783759250592315086593343092870350633499488651071644767892,25
107969168196646518420987688307659777829776463421854340649448446476886023948268,24
23083909457987625475166292175849075712347410069125073021612669562391416455778,24
24563271286313887360187550423730611937223701641265160768093960603662640800794,24
61781986644006111530110421699797458937156251422990180217825682010850141822345,24
9511195257865580834972167601909657905118479996031667041206899661325528243443,24
81729544664715601943306640253879266607037242756717544068082808379943658684346,23
5259216172738251936436031988528460756643979243698225897159613651587915705810,23
36046640093260582755409250586099664619993463183152638365367001579738636632854,23
32530972366668931594795401091105879244644014411546264070073859591797225435846,22
19611295887699835791012557402198313561163125869515581903166471337320872407320,22
63877748259635362105747208623680335721109228683214545161288447925374084331211,22
7517286506168682718931948148790446007596552867183376009524704630446231185683,22
83348925503792839235928043323803463761060247645372312722534168823826483334852,21
24057153833809577485625939158552089886771132268389652717197541576833817721382,21
64609937026724135333375234483216121690515228677005224472528157368495656215235,21
27173708215550836309255002876884990302515602833647958154011886163273532699048,21
102595266931919202258468596575236670477398297452855370684515832233404835535603,21
66290809155134441110894418960991601894720408083819717590260488366471917414858,20
39368954629508891081720509741124498267412040892678323256121354809800998844212,20
12631625163698555347039170289183489484970827659541088816268937876853342150765,20
8011249171651860714892760952633693208185658212370855604012275995159034912643,20
93425991122379470517069263362138187058172411373244454714101914253871249593317,20
28094994647923231971638701738565738381551155750025511805538471011646621457163,19
95479797373859775246946561589159346211738700360379603511341354001527783819775,19
41139205499482095932010819440963297700828928359475419345505551171076658790030,19
107306128218523256518512124421310638247778656300289950166268139931506621005513,19
112218665344509494202234454742471233305693048998144974378558751592745415985666,19
27510769649890213154969551958401126951535386964035548500076213273860856105255,19
8946740930619134413517546734236552497408356416184103779239292515038368566037,19
45212944655417620100518875507806923357529658397004365696900780083766682011534,18
109682408542778387781128777448665398546323312703902407121970835777906452918052,18
92597424923579431611468164591281902055104411426949428820468026889578920200027,18
93761251401928255132364933484035966303055529695659327363315131641221345787953,18
73833722941236016025477463217099755223065774282617003745336239567329276214585,18
40240897339127859080234344300017056800457985999958936917722817158671123176001,18
107102005719918266820014460829850106432508980150672585729623386013939061791092,18
73300095096869564925242550013773387157543564081522475869910851439968594068219,18
91000307237188540931467279523103232257619816126565577890378766922513587319723,18
42540466823224396757732239829735096115462057803558186793066172950058274429102,18
50552813428796117295982384258615131569576562406491909506895699202547118071950,18
114524229782212658315867647930604198804028878175067630499903393464671335459184,18
43777937807766981416856365158581520533341743390778685294995623191560853129946,18
108021009521037624515224165544500546513630715732037228486646358598880040940682,18
65154613498313952246860157602827834703121252176168905638425787540614321979443,18
99918057006326603684877248972384992724915839628915227539640686731926151214745,18
86618254857599533878266967215285735522790083140678475998527818119677785297642,17
97151793173272550728302588284775051250164618753422437064738619498374218292080,17
97492331779211434404632571285632544385737825348695670151618537355265811400621,17
89884229811689071535665140151774871468108041850491491134826156703009846618780,17
86586160953672439983116195041764129368449321957388973640869539044122846146735,17
28621435577489346009768906775916287593927011040302212859651117678026862046100,17
62548547109438025092020020056326754301452042157956626044167950705518130876943,16
46976348878665588571406558738076180764339662219393518277148985483336001264941,16
64530436500541714108372042514318715637252150302989617516036326044714779972164,16
97734317149506397849929650692307591315275772709116410663930104510814497262774,16
31043006097705558646471139313625060376494639518815578006495158315669410224318,16
12996268537136208604368874122453757318570470037288300372196066922143648709378,16
94837379916375656779687755363234559129959810781828591555655773964762534740466,16
114890130770746812656772191223254923184083131753903881429819294353876745450299,16
48955372906672128703507055020994228506644352285442349373206351242158985440471,16
99171828551196780322946453535187426292623196864518486192052148077767329941702,16
52231123831329616935118113230081566701691665183093920973330963383782434161823,16
41843561162585546500843035407419432062430963069803660446844834741041329956207,15
93705623063501659112369463429928631118960904231446453717905478605901190490829,15
3217374853336280013765682428287484922739646315585515628971215447913484830012,15
35095094721730041651304715098415196255175459653113595667466565047106030071051,15
100406130353028962662802887724732861165228499054835090619900693016599751098523,15
61370145972864144571738170822278228984215408805552305072435437514784331134542,15
41573622580178150143490277448901824833058085012232947137730113987588811271293,15
16383548280489930027708303938589224024327911494209251772432063188271281199489,15
15894325199522108294312719575577243162434946478289679433738031021967305661557,15
111845367664901685320054916331988498693312734018320127982265909820936933643659,15
52906613802202907039010144123439384673298701317011504919971000598562397718409,14
46442521395084027461814209421751989795153167001483878804266046287138811413366,14
71307172525318271803464420137423770787549134209200005323842171944666388491045,14
60350848922654569209858397261503348345375189240744275004315537763469933442071,14
15809957880348683810965099968482418810395206034891488125022014906419680773729,14
37367144477168484891855747987293328746337930216484376062659824197199482436816,14
38558258636700519620466874018349138541800362863022622740035244949033472418267,14
16580296641394289004461549729702945735836329212123892573071742152882152704393,14
44284552703519138196592243303278089984049132903126653417173892771987713110549,14
14046589976121002104252272657194532276689443658685677091845023383811188163277,14
11626941351099147239265871182086742116788744735465632493318878511812239899681,14
73485806318217230345403052972160244296538633906515528300920431870107705774390,14
20068649590452700266659342516020862456752244693935958109302885874000794303345,14
80783175999354355229574061983628725008866930979921056984092422878011526683994,14
35325128478538960734419264644566036564762258677745485686956953582686601945093,14
108397917060236448418821406866847359190951506289421723214453400372362755469426,13
25586342623718688097952050329887616936701146092213470713180568265688956123313,13
62517756791803702887149142322053122671044031020451323982600080156782637940608,13
31635164517370229328912988563203575028116369025871411586083782854723513935976,13
10646511579584628830275009036996318321203348546269529387299721002646878804510,13
45062371876501700394673653289559517304562546558514466615575131244725001281840,13
5614124899343279375067388465669980740489738819247997813595708756215165418652,13
16415375239672254668853847239093961561078909414230235684356139317947497126534,13
27628949274218222996640265924869197916269743258262211424190773924248132224820,13
115285158151320909250488822215817022350585462901050970136101115210525217136646,12
114625249173909130919447126671375345056582994459090571860451713120545493212388,12
1891985390950784600078607839264181707604099390373104085211837000508652520186,12
35669647195043994438498506581115911354332166728866920149740623264676161294128,12
20950680364591886712390092121212778102488185143799759345044329305500203218093,12
18948480222808463416793164951499726929469396388638711698348586093855135633414,12
30826825438350027371166068901523902586281949433787522583240722103137494887022,12
107480749494729051826648284706033773269190897050421590139754599933662398796998,12
7497857932401578960254722888452649762541516880558337989634688196815112040234,12
6254102862510472032327600041653244237705147463785784468571468799753754451266,12
7218537821164281895896975472436649060909219871126704637624128416862590131022,12
23433805566383131946026400065333428832810075872397168079195010016895547210094,12
38305502398178895469958597454195894602826533896074702785577197999378792021412,12
67178089502977438382806399519246124914293150549606807877703255258455078958462,12
12700388376395502829244845391754167200737544606294987106936295533768853448345,12
86574793561107492833178516263275361650147059532541014341701983792622157076714,12
429586173758693266091390832060140905052655555984542702080928812954039264285,12
106255757504514446380082851432771706143277719820968006431166789310640486854850,12
11728480127478117713449747044765737146951473455611093323297263413521290309461,12
52199757407886672209175537018791297139474579106922390905573641957896252060680,12
65702162584473310789381974008658352900360098688061390341126856926504497556964,12
94242052714707955888391753528892098083095355036371855405733075432562750403416,12
93695383058803780873598133824894878358045180975623782373696866910188613215836,11
28687951979629028246308853068608299897940146475483846575466679280305129849526,11
49567120930440329156356395405916502728015490415617111965246311183114312481668,11
99043639578072308703242463807655879679505181962210482611238108355544323892985,11
43391107387210796219912697702922698142144600748103410367090916331828216277001,11
22310199632254029067208406729130014263441135074482403413854298037129876317145,11
3237530690132462209265812266186377023797303622659590570015814112707896839752,11
10092235950233378163630609474518221114221730692778491840286558641603644503241,11
50275902208708497388251740335254581532168343410278162515394527558338968916645,11
65806093473590934222566370012834450812141251719328710449880232722208984165816,11
47131911488610878693729445419381736323685049784819245285137374050646445003157,11
15755874910261623516705249372877755967478759701919068587539978024189796670914,11
2517369012770957316093876372826259367460109541217926979081572571478285760319,11
75531960907097443399957145954792817249402243145083128368623164399187745096369,11
83201382031188423271928619730316553500534104139327800135748883351002006577971,11
58140921517342444779633237170475731980284630397877851659898104302496648051252,11
105911667575745220358841311439967015400478868598969990493949187828897572510165,11
83972948642656325240747753308814861139805449671502389641944251778676153362831,11
91575360643681725757048553192821994020517849665553869369765085365641242372396,11
