id,source_count
5737232837780196707239417615769632211857531578328709107564066963945534580598,41
82130274787344019553281437204916318527692405788908486763203405695958607853148,41
36204688411632459351662446326646037209485590403643575845979493714549604586411,40
611042237392672662731415817204805292548110449232116003097040831941723722041,40
5612519690107455269865194947320660931906753664036168547856558828949271694244,40
107249536427390431467087212755203256219776157970701729636276159973874831333132,40
58568582449475232172760009286704046869243546577304873586133993836649117215785,40
37777535699061024472684558027769504175493421171208596062386685206509061612113,40
99913745157972394592886766398156339036867178641313737744287667662786913573325,39
95349576213210622884589986028691100678072021730913369129506278135626210584279,38
40543414886590992948071730636013510832242856651387221517769760733342163329299,37
11190067943588361679950025943665527748733708446410935335053040160774376411609,37
101404397791196569605522566741033948857407289039371195103165731983935922826454,37
78970086706821911857246029456986595643941404409470344205501917999131510496585,37
108694099494440367105309675947649203919319000321223254819966749612456065112386,36
9533814471288917030451527234694424409105658274875855957537584214784970893594,36
84445104650530099840505907584496883218799990747479084401772786822609685801190,36
7753610726682206344652899981301643185166697952773432503101362517491729611545,35
97732277651443320590265332524364996276017126308049957892763983551809173901986,35
78648031587415140281965888737007562352813187285377471659563344350737949959617,35
105418361755050719522937170270437263410461563417285527859648884395258384440300,35
86912248203894291280628031530346118819043627570132011321438780595922596671115,35
75866002471221348252210646508897451671375259694585178008004330344742255765399,34
83808798706993484305272181229537742058532059748458682501180361854915901735182,34
100465835543304996988813830127296874713059965582613800358266797832416547909635,34
74614665426392161028682944654464797638014570405123488755821815989766206216587,34
36210125840203190862353431734007444896891035885677565343943125003347215118641,34
18716746759419783532749663182891021182104902613230657037442858810990648136695,34
82394759564333921729625484258774069236996635961789403803149306800960024662492,33
89560497479347239300313763224884726283440834104667888586902108362027244610014,33
39846093678984857265179866388574271884505026622237820713549932584936443258187,33
114009204712367524611767673973075994042039535476530969629896048098004155074369,33
80943425491288206500179790479153012130795362077821690435021126349989120349300,33
115010544728896313430441114925631078706509437081654704126308085410923543782258,33
63280743694824180178153066383802413343951204831650187611903102566251864644899,32
107629639467764226032640582461197876132316568878085270663511544432514822955340,32
13264280256206204069295533813820108542106653871459028493869289970860251599907,32
103903953823321701347534175572353884352531316527418088201760798424615141003736,32
80286964932565131527513733803131826871188165290443918889361987854124359674788,32
17957494775432463646888016753660762547768902404184413333237526430125894741461,31
11536372408075567713612804867903458898789485303220428898883140243458566237820,31
59583498064006301847635514657789338383833757999597274363186148465784801034010,31
1162437699081540756876013428756605730409266504490822140922062273894478204450,30
6257138026364190960337421999345483052303459200812731859994039970827537630068,29
80073077912902875336162206931259621055464077928479994898153233787531717584881,29
96340132344912309224713961057372892771838248308987901228603925093151202826515,28
80589206126835833489442987280901690316363130406689915827280196016172935797556,28
91757470287545600822664291122005910304497591517147865289185491655338424845774,28
12577867122983923123889030072610940037911842076028623900172447536802037849544,28
29352049181814240766201791400293679159636647247340450192161040488228666015227,27
54768710699154590002418010850174153948924796629509456309443690565808332517159,27
112631787274137399228858478273123444075241386513953323653899358563805450902473,26
110180146528797263385196141192288670669618798158162134115126300117240054960354,26
63319401269861403438157879833750792308922956170940004972633702709872227266239,26
65428634731316694344936279004135204703245450425166118928575046268193493960531,26
