id,smirks,sources
EVODEX.0-E3280,[H][S:48][C:47].[O:63][P:64](=[O:65])([O:66])[O:67].[O:80]=[C:81]([O:82][H:142])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[H],"EVODEX.0-P49531,EVODEX.0-P49560"
EVODEX.0-E251,[H]N([H])[C:2]([H])([C:3])[H:14]>>O=[C:2]([C:3])[H:14],"EVODEX.0-P4493,EVODEX.0-P4496"
EVODEX.0-E2413,[H]C1:C(N([H])[C:11](=[O:12])[C:13]):C([H]):C2:O:C(=O):C([H]):C(C([H])([H])[H]):C:2:C:1[H].[H][O:49][H:95]>>[C:11](=[O:12])([C:13])[O:49][H:95],"EVODEX.0-P37507,EVODEX.0-P37600"
EVODEX.0-E2414,[H]C1:C(N([H])[C:11](=[O:12])[C:13]):C([H]):C2:O:C(=O):C([H]):C(C([H])([H])[H]):C:2:C:1[H]>>[H]O[C:11](=[O:12])[C:13],"EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-E2203,[H]OP(=O)(O[H])O[C:7]([C:8])([H:31])[H:32].[H][O:1][H:52]>>[O:1]([C:7]([C:8])([H:31])[H:32])[H:52],"EVODEX.0-P33626,EVODEX.0-P33631"
EVODEX.0-E354,[H][C:6](:[C:5]):[C:7]>>[H]O[C:6](:[C:5]):[C:7],"EVODEX.0-P6101,EVODEX.0-P6701"
EVODEX.0-E1454,[H][O:57][C:56]>>[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([O:57][C:56])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@@]1([H])O[H],"EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-E1750,[H][C@:2]([N:1]([H:22])[H:23])([C:3])[C:9].[C:16][C:17](=[O:18])[C:19]=[O:20]>>[C:2]([C:3])([C:9]=[O:10])=[O:18].[H][C@:17]([N:1]([H:22])[H:23])([C:16])[C:19],"EVODEX.0-P25353,EVODEX.0-P25360"
EVODEX.0-E3284,[H]OP(=O)(O[H])OP(=O)(O[H])O[P:64]([O:63])(=[O:65])[O:66].[C:81][O:82][H:142]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S)O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[O:63][P:64](=[O:65])([O:66])[O:82][H:142],"EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-E3279,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].[H]OP(=O)(O[H])O[P:69]([O:68])(=[O:70])[O:71]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130],"EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-E16,[H][C:47](=[O:46])[C:48]>>[H]O[C:47](=[O:46])[C:48],"EVODEX.0-P115,EVODEX.0-P294"
EVODEX.0-E1096,[H][N:52]([C:53])[H:100]>>[H]C([H])([H])C(=O)[N:52]([C:53])[H:100],"EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-E1433,[H][O:3][P:2].[O:9][C@@:10]([O:11])([C:34])[H:47]>>[P:2][O:3][C@@:10]([O:9])([C:34])[H:47].[H],"EVODEX.0-P20212,EVODEX.0-P20284"
EVODEX.0-E15,[H][C:47](=[O:46])[C:48].[H][O:45][H:88]>>[O:45]([C:47](=[O:46])[C:48])[H:88],"EVODEX.0-P113,EVODEX.0-P292"
EVODEX.0-E1135,[H]O[C:81](=[O:80])[C:83]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81](=[O:80])[C:83])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1,"EVODEX.0-P17011,EVODEX.0-P19825"
EVODEX.0-E1436,[C:8]:[C:9]([O:10]):[C:33].[H][O:36][H:65]>>[C:8]:[C:9](:[C:33])[O:36][H:65].[H],"EVODEX.0-P20228,EVODEX.0-P32454"
EVODEX.0-E1273,[H]OP(=O)(O[H])OP(=O)(O[H])O[P:16]([O:15])(=[O:17])[O:18].[H][O:34][P:33]>>[O:15][P:16](=[O:17])([O:18])[O:34][P:33],"EVODEX.0-P18713,EVODEX.0-P29516"
EVODEX.0-E2204,[H]OP(=O)(O[H])O[C:7]([C:8])([H:31])[H:32]>>[H]O[C:7]([C:8])([H:31])[H:32],"EVODEX.0-P33628,EVODEX.0-P33655"
