id,smirks,sources
EVODEX.0-Em1162,[C:6][C:8](=[O:9])[O:10].[H][N:11]([C:12])[H:60]>>[C:6][C:8](=[O:9])[N:11]([C:12])[H:60].[O:10],"EVODEX.0-P51658,EVODEX.0-P51692"
EVODEX.0-Em1163,O[C:2]([C:1])=[O:3].[H][N:5]([C:6])[H:17]>>[C:1][C:2](=[O:3])[N:5]([C:6])[H:17],"EVODEX.0-P27710,EVODEX.0-P37758"
EVODEX.0-Em1165,[C:1][C:2](=[O:3])[S:4].[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53].[S:4],"EVODEX.0-P16858,EVODEX.0-P16873"
EVODEX.0-Em1166,S[C:2]([C:1])=[O:3].[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53],"EVODEX.0-P16859,EVODEX.0-P16874"
EVODEX.0-Em1167,[H][S:48][C:47].[O:80]=[C:81]([O:82])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:82],"EVODEX.0-P49539,EVODEX.0-P49597"
EVODEX.0-Em1168,[H][S:48][C:47].O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83],"EVODEX.0-P17010,EVODEX.0-P19824"
EVODEX.0-Em1169,O[C:81](=[O:80])[C:83]>>S[C:81](=[O:80])[C:83],"EVODEX.0-P17011,EVODEX.0-P19825"
EVODEX.0-Em1180,[S:48][C:49](=[O:50])[C:51].[H][O:57][H:98]>>[C:49](=[O:50])([C:51])[O:57][H:98].[S:48],"EVODEX.0-P17004,EVODEX.0-P17013"
EVODEX.0-Em1233,[O:18][C:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C:19]([O:20])([C:28])([O:37][C:38])[H:53].[O:18],"EVODEX.0-P18658,EVODEX.0-P20206"
EVODEX.0-Em1234,O[C:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C:19]([O:20])([C:28])([O:37][C:38])[H:53],"EVODEX.0-P18660,EVODEX.0-P20354,EVODEX.0-P20379,EVODEX.0-P20402"
EVODEX.0-Em1299,[C:1][C:2](=[O:3])[O:4].[H][O:14][H:23]>>[C:1][C:2](=[O:3])[O:14][H:23].[O:4],"EVODEX.0-P19710,EVODEX.0-P32262"
EVODEX.0-Em1378,[H][O:3][P:2].[O:9][C:10]([O:11])([C:34])[H:47]>>[P:2][O:3][C:10]([O:9])([C:34])[H:47].[O:11],"EVODEX.0-P20212,EVODEX.0-P20284"
EVODEX.0-Em1380,[C:8]:[C:9]([O:10]):[C:33].[H][O:36][H:65]>>[C:8]:[C:9](:[C:33])[O:36][H:65].[O:10],"EVODEX.0-P20228,EVODEX.0-P32454"
