id,smirks,sources
EVODEX.0-N988,[C:1][C:2](=[O:3])[S:4].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100].[H][S:4],"EVODEX.0-P16776,EVODEX.0-P16781"
EVODEX.0-N989,[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100],"EVODEX.0-P16777,EVODEX.0-P16782"
EVODEX.0-N990,[H][N:52]([C:53])[H:100]>>[H]C([H])([H])C(=O)[N:52]([C:53])[H:100],"EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-N1003,[C:1][C:2](=[O:3])[S:4].[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53].[H][S:4],"EVODEX.0-P16858,EVODEX.0-P16873"
EVODEX.0-N1004,[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53],"EVODEX.0-P16859,EVODEX.0-P16874"
EVODEX.0-N1005,[H][O:52][C:53]>>[H]C([H])([H])C(=O)[O:52][C:53],"EVODEX.0-P16860,EVODEX.0-P16875"
EVODEX.0-N1028,[S:48][C:49](=[O:50])[C:51].[H][O:59][H:100]>>[C:49](=[O:50])([C:51])[O:59][H:100].[H][S:48],"EVODEX.0-P17004,EVODEX.0-P17013"
EVODEX.0-N1030,[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:49](=[O:50])[C:51])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]O[C:49](=[O:50])[C:51],"EVODEX.0-P17006,EVODEX.0-P17015"
EVODEX.0-N1031,[H][S:48][C:47].[H]O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83],"EVODEX.0-P17010,EVODEX.0-P19824"
EVODEX.0-N1032,[H]O[C:81](=[O:80])[C:83]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81](=[O:80])[C:83])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1,"EVODEX.0-P17011,EVODEX.0-P19825"
EVODEX.0-N1063,[H]C([H])([H])C(=O)[N:4]([C:5])[H:16]>>[H][N:4]([C:5])[H:16],"EVODEX.0-P17311,EVODEX.0-P17316"
