id,smirks,sources,hash
EVODEX.2.1-D1273,[#6:5]-[#6@@:6](-[#7:7])(-[#6:8]=[#8:9])-[#1:21]>>[#6:5]-[#6@:6](-[#7:7])(-[#6:8]=[#8:9])-[#1:21],"EVODEX.2.1-P6155,EVODEX.2.1-P6156,EVODEX.2.1-P6157,EVODEX.2.1-P6161,EVODEX.2.1-P6162,EVODEX.2.1-P6163,EVODEX.2.1-P6164,EVODEX.2.1-P6165,EVODEX.2.1-P6168,EVODEX.2.1-P6169",76994035585860388151761582092825809069866383114248735818246518009627927565404
EVODEX.2.1-D36,[#8:11]=[#8:12].[#8:1]=[#6:2]-[#6@:3](-[#8:4]-[#1])(-[#6@@:5])-[#1]>>[#8:1]=[#6:2]-[#6:3](=[#8:4])-[#6@@:5].[#8:11](-[#8:12]-[#1])-[#1],"EVODEX.2.1-P106,EVODEX.2.1-P107,EVODEX.2.1-P108,EVODEX.2.1-P116,EVODEX.2.1-P117,EVODEX.2.1-P122,EVODEX.2.1-P123,EVODEX.2.1-P126,EVODEX.2.1-P127",110661134606698280997822621361929778500380399124718592379008814175501580915247
EVODEX.2.1-D766,[#15:2](=[#8:3])-[#8:5]-[#6:6]1:[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13]:[#6:14]:1.[#8:15](-[#1])-[#1]>>[#15:2](=[#8:3])-[#8:5]-[#1].[#6:6]1(-[#8:15]-[#1]):[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13]:[#6:14]:1,"EVODEX.2.1-P3446,EVODEX.2.1-P3706,EVODEX.2.1-P3813,EVODEX.2.1-P3863,EVODEX.2.1-P3864,EVODEX.2.1-P3866,EVODEX.2.1-P3870,EVODEX.2.1-P3875,EVODEX.2.1-P5825",84075723939898804767471665189467893796890267565362358540734074587907822793609
EVODEX.2.1-D767,[#15:2](=[#8:3])-[#8:5]-[#6]1:[#6](:[#6](:[#6](-[#7&+](=[#8])-[#8&-]):[#6](:[#6]:1-[#1])-[#1])-[#1])-[#1]>>[#15:2](=[#8:3])-[#8:5]-[#1],"EVODEX.2.1-P3447,EVODEX.2.1-P3449,EVODEX.2.1-P3705,EVODEX.2.1-P3708,EVODEX.2.1-P3804,EVODEX.2.1-P3814,EVODEX.2.1-P3865,EVODEX.2.1-P3867,EVODEX.2.1-P3868",45990908770130692724464445053895050500016369171254512298412424158696924129843
EVODEX.2.1-D23,[#6:2](=[#8:3])-[#6:4]1=[#6:5](-[#7:6](-[#6@@:7])-[#6:42](=[#6:43](-[#6:44]-1(-[#1:83])-[#1])-[#1:82])-[#1:81])-[#1:58].[#6:50]-[#6:51](=[#8:52])-[#6:53]=[#8:54]>>[#6:2](=[#8:3])-[#6:4]1:[#6:5](:[#7&+:6](-[#6@@:7]):[#6:42](:[#6:43](:[#6:44]:1-[#1:83])-[#1:82])-[#1:81])-[#1:58].[#6:50]-[#6:51](-[#8:52]-[#1])(-[#6:53]=[#8:54])-[#1],"EVODEX.2.1-P37,EVODEX.2.1-P47,EVODEX.2.1-P67,EVODEX.2.1-P87,EVODEX.2.1-P90,EVODEX.2.1-P905,EVODEX.2.1-P906,EVODEX.2.1-P907",92141577249141066005770656990436838866408669525590067806962271036513112067426
EVODEX.2.1-D25,[#6:1]-[#6:2](=[#8:3])-[#6:4]=[#6:5].[#6:14](=[#8:15])-[#6:16]1=[#6:17](-[#7:18](-[#6@@:19])-[#6:58](=[#6:59](-[#6:60]-1(-[#1:101])-[#1])-[#1:100])-[#1:99])-[#1:75]>>[#6:1]-[#6:2](-[#8:3]-[#1])(-[#6:4]=[#6:5])-[#1].[#6:14](=[#8:15])-[#6:16]1:[#6:17](:[#7&+:18](-[#6@@:19]):[#6:58](:[#6:59](:[#6:60]:1-[#1:101])-[#1:100])-[#1:99])-[#1:75],"EVODEX.2.1-P49,EVODEX.2.1-P56,EVODEX.2.1-P57,EVODEX.2.1-P68,EVODEX.2.1-P69,EVODEX.2.1-P83,EVODEX.2.1-P84,EVODEX.2.1-P89",28622032730136067827482794042547621868731301174108642100874367050411999608161
EVODEX.2.1-D55,[#6:15]-[#6:16](-[#6:17])(-[#1:36])-[#1]>>[#6:15]-[#6:16](-[#6:17])(-[#8]-[#1])-[#1:36],"EVODEX.2.1-P190,EVODEX.2.1-P205,EVODEX.2.1-P212,EVODEX.2.1-P213,EVODEX.2.1-P368,EVODEX.2.1-P381,EVODEX.2.1-P621,EVODEX.2.1-P702",35915619584559722382571061287442282266104322305393568785588199555841439379533
EVODEX.2.1-D768,[#15:2](=[#8:3])-[#8:5]-[#6:6]1:[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13]:[#6:14]:1>>[#15:2](=[#8:3])-[#8:5]-[#1].[#6:6]1(-[#8]-[#1]):[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13]:[#6:14]:1,"EVODEX.2.1-P3448,EVODEX.2.1-P3450,EVODEX.2.1-P3709,EVODEX.2.1-P3806,EVODEX.2.1-P3862,EVODEX.2.1-P3869,EVODEX.2.1-P3871,EVODEX.2.1-P5824",61702087381441823907935141234058967775341076681123497577241537187109633165269
EVODEX.2.1-D796,[#6:2]-[#6:3](-[#6:4])(-[#8:8]-[#6:6]=[#8:7])-[#1:15]>>([#6:2]-[#6:3](-[#6:4])(-[#8]-[#1])-[#1:15].[#6:6](=[#8:7])-[#8:8]-[#1]),"EVODEX.2.1-P3541,EVODEX.2.1-P3542,EVODEX.2.1-P3551,EVODEX.2.1-P3557,EVODEX.2.1-P3559,EVODEX.2.1-P3560,EVODEX.2.1-P3652,EVODEX.2.1-P3700",98884437071076886903878987701121121383261709703452568571088505850970180735684
EVODEX.2.1-D797,[#6:7]-[#6:8](-[#6:9])(-[#8:13]-[#6:11]=[#8:12])-[#1:30].[#8:14](-[#1])-[#1]>>([#6:7]-[#6:8](-[#6:9])(-[#8:14]-[#1])-[#1:30].[#6:11](=[#8:12])-[#8:13]-[#1]),"EVODEX.2.1-P3546,EVODEX.2.1-P3548,EVODEX.2.1-P3549,EVODEX.2.1-P3550,EVODEX.2.1-P3552,EVODEX.2.1-P3554,EVODEX.2.1-P3558,EVODEX.2.1-P3699",49908032013752572750695652115853228251269699773274218960248442495171849257208
