id,mass,sources,formula_diff
EVODEX.2.1-M206,484.05104,"EVODEX.2.1-P6703,EVODEX.2.1-P6704,EVODEX.2.1-P6707,EVODEX.2.1-P6989,EVODEX.2.1-P7000","{""C"": 12, ""H"": 18, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M207,182.16716,"EVODEX.2.1-P1712,EVODEX.2.1-P1762,EVODEX.2.1-P1810,EVODEX.2.1-P1812,EVODEX.2.1-P1813","{""C"": 12, ""H"": 22, ""O"": 1}"
EVODEX.2.1-M208,263.07939,"EVODEX.2.1-P4652,EVODEX.2.1-P4656,EVODEX.2.1-P4662,EVODEX.2.1-P4663,EVODEX.2.1-P4665","{""C"": 13, ""H"": 13, ""N"": 1, ""O"": 5}"
EVODEX.2.1-M209,260.12748,"EVODEX.2.1-P5016,EVODEX.2.1-P5099,EVODEX.2.1-P5105,EVODEX.2.1-P5108,EVODEX.2.1-P5110","{""C"": 13, ""H"": 16, ""N"": 4, ""O"": 2}"
EVODEX.2.1-M210,498.0667,"EVODEX.2.1-P6527,EVODEX.2.1-P6756,EVODEX.2.1-P6889,EVODEX.2.1-P6945,EVODEX.2.1-P6977","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M211,530.0388,"EVODEX.2.1-P6957,EVODEX.2.1-P6985,EVODEX.2.1-P6991,EVODEX.2.1-P7028,EVODEX.2.1-P7044","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 11, ""P"": 2, ""S"": 1}"
EVODEX.2.1-M212,514.0616,"EVODEX.2.1-P6606,EVODEX.2.1-P6804,EVODEX.2.1-P6845,EVODEX.2.1-P6875,EVODEX.2.1-P6952","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 12, ""P"": 2}"
EVODEX.2.1-M213,512.08236,"EVODEX.2.1-P6601,EVODEX.2.1-P6639,EVODEX.2.1-P6645,EVODEX.2.1-P6651,EVODEX.2.1-P6719","{""C"": 14, ""H"": 22, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M214,528.0772599999999,"EVODEX.2.1-P6621,EVODEX.2.1-P6773,EVODEX.2.1-P6853,EVODEX.2.1-P6884,EVODEX.2.1-P6964","{""C"": 14, ""H"": 22, ""N"": 6, ""O"": 12, ""P"": 2}"
EVODEX.2.1-M215,365.13219,"EVODEX.2.1-P4110,EVODEX.2.1-P4111,EVODEX.2.1-P4113,EVODEX.2.1-P4114,EVODEX.2.1-P4117","{""C"": 14, ""H"": 23, ""N"": 1, ""O"": 10}"
EVODEX.2.1-M100,210.19848,"EVODEX.2.1-P1766,EVODEX.2.1-P1793,EVODEX.2.1-P1796,EVODEX.2.1-P1814,EVODEX.2.1-P1815,EVODEX.2.1-P1861,EVODEX.2.1-P1862,EVODEX.2.1-P1863,EVODEX.2.1-P1865,EVODEX.2.1-P1866","{""C"": 14, ""H"": 26, ""O"": 1}"
EVODEX.2.1-M216,394.12384,"EVODEX.2.1-P4769,EVODEX.2.1-P4771,EVODEX.2.1-P4775,EVODEX.2.1-P4777,EVODEX.2.1-P4783","{""C"": 15, ""H"": 18, ""N"": 6, ""O"": 7}"
