id,original_id,smirks,sources
EVODEX.1-E32,75233573613138878433510728726811252388089306227044537935935649255814098313817,[#6:49](=[#8:50])-[#6:51](=[#6:52](-[#6:53])-[H:136])-[H:137].[#8:107]=[#6:108]=[#8:109]>>[#6:49](=[#8:50])-[#6@@:51](-[#6:52](-[#6:53])(-[H:136])-[H])(-[#6:108](-[#8:107]-[H])=[#8:109])-[H:137],"EVODEX.1-P842,EVODEX.1-P836,EVODEX.1-P845,EVODEX.1-P839,EVODEX.1-P843"
EVODEX.1-E33,10803352372427595226349846331429323380061824994120607687649157592901807601103,[#6:2]-[#6:3](=[#8:4])-[#6:5]=[#8:6].[#6:8]-[#6@:9](-[#7:10](-[H:64])-[H])(-[#6:11])-[H:67]>>[#6:2]-[#6:3](-[#6:5]=[#8:6])(-[#7:10](-[#6@@:9](-[#6:8])(-[#6:11])-[H:67])-[H:64])-[H].[#8:4](-[H])-[H],"EVODEX.1-P1113,EVODEX.1-P1108,EVODEX.1-P1111,EVODEX.1-P1132,EVODEX.1-P1110"
EVODEX.1-E34,104917760805689880787781962972274610542292766379344661431162465358630945972885,[#6:21]-[#8:22]-[H].[#6:27](-[#16:28](-[#6:29])-[#6:36])(-[H:98])(-[H:99])-[H:100]>>[#6:21]-[#8:22]-[#6:27](-[H:98])(-[H:99])-[H:100].[#16:28](-[#6:29])-[#6:36],"EVODEX.1-P1308,EVODEX.1-P1228,EVODEX.1-P1231,EVODEX.1-P1294,EVODEX.1-P1246"
EVODEX.1-E35,34859213610842768896794385513711237644286909078051926490057465734449697066296,[#6:1](-[#16:2](-[#6:3])-[#6:10])(-[H:60])(-[H:61])-[H:62].[#16:28](-[#6:29])-[H]>>[#6:1](-[#16:28]-[#6:29])(-[H:60])(-[H:61])-[H:62].[#16:2](-[#6:3])-[#6:10],"EVODEX.1-P1318,EVODEX.1-P1314,EVODEX.1-P1300,EVODEX.1-P1302,EVODEX.1-P1313"
EVODEX.1-E36,40543414886590992948071730636013510832242856651387221517769760733342163329299,[#6:1](-[#16:2](-[#6:3])-[#6:10])(-[H:56])(-[H:57])-[H:58].[#7:28](-[#6:29])(-[H:66])-[H]>>[#6:1](-[#7:28](-[#6:29])-[H:66])(-[H:56])(-[H:57])-[H:58].[#16:2](-[#6:3])-[#6:10],"EVODEX.1-P1264,EVODEX.1-P1232,EVODEX.1-P1238,EVODEX.1-P1310,EVODEX.1-P1272"
EVODEX.1-E37,89560497479347239300313763224884726283440834104667888586902108362027244610014,[#6:18]-[#7:19](-[H])-[#6@@:20].[#6:29](-[#16:30](-[#6:31])-[#6:38])(-[H:104])(-[H:105])-[H:106]>>[#6:18]-[#7:19](-[#6:29](-[H:104])(-[H:105])-[H:106])-[#6@@:20].[#16:30](-[#6:31])-[#6:38],"EVODEX.1-P1292,EVODEX.1-P1282,EVODEX.1-P1277,EVODEX.1-P1290,EVODEX.1-P1233"
EVODEX.1-E38,58959761642429467833218689519811031890265992434816073554664379976766080525805,[#6:1]-[#16:2](-[#6:3](-[#6:4])(-[H:51])-[H:52])-[#6:10].[#7:28](-[#6@@:29])(-[H:82])-[H]>>[#6:3](-[#6:4])(-[#7:28](-[#6@@:29])-[H:82])(-[H:51])-[H:52].[#6:1]-[#16:2]-[#6:10],"EVODEX.1-P2583,EVODEX.1-P2545,EVODEX.1-P2592,EVODEX.1-P2547,EVODEX.1-P2542"
EVODEX.1-E39,68239341295905675406512657363032968256603986662218067877761194453574867859101,[#6:1]-[#6:2](-[#6:3])=[#6:4](-[#6:5])-[H].[#6:32](-[#16:33](-[#6:34])-[#6:41])(-[H:127])(-[H:128])-[H]>>[#6:1]-[#6:2](-[#6:3])(-[#6:4](-[#6:5])=[#6:32](-[H:127])-[H:128])-[H].[#16:33](-[#6:34])-[#6:41],"EVODEX.1-P1254,EVODEX.1-P1258,EVODEX.1-P1256,EVODEX.1-P1249,EVODEX.1-P1250"
EVODEX.1-E40,97378729520138447854836188905490993365497144899615848364835264623866286409471,[#6:10](-[#6@:9])(-[#8:11]-[H])(-[H:191])-[H]>>[#6:10](-[#6@:9])(=[#8:11])-[H:191],"EVODEX.1-P44,EVODEX.1-P52,EVODEX.1-P95,EVODEX.1-P22,EVODEX.1-P105"
EVODEX.1-E41,34171091940788578241217381591686143855877388655982542137051948926862725989,[#6:51]-[#6@@:52](-[#8:53]-[H])(-[H])-[#6:54]>>[#6:51]-[#6:52](=[#8:53])-[#6:54],"EVODEX.1-P21,EVODEX.1-P91,EVODEX.1-P74,EVODEX.1-P29,EVODEX.1-P34"
