id,smirks,sources
EVODEX.2-D1135,[#7]-[#6@@](-[#6])(-[#6:12](=[#8:13])-[#8:14]-[#1])-[#1]>>[#6:12](=[#8:13])=[#8:14],"EVODEX.2-P5475,EVODEX.2-P5478,EVODEX.2-P5483,EVODEX.2-P5484,EVODEX.2-P5504"
EVODEX.2-D1137,[#6:5]-[#6@:6](-[#7:7])(-[#6](=[#8])-[#8])-[#1:19]>>[#6:5]-[#6:6](-[#7:7])(-[#1:19])-[#1],"EVODEX.2-P5479,EVODEX.2-P5482,EVODEX.2-P5486,EVODEX.2-P5487,EVODEX.2-P5494"
EVODEX.2-D1139,[#6]-[#6](-[#8])(-[#6:5]#[#7:6])-[#1]>>[#6:5](#[#7:6])-[#1],"EVODEX.2-P5506,EVODEX.2-P5526,EVODEX.2-P5532,EVODEX.2-P5621,EVODEX.2-P5626"
EVODEX.2-D1140,[#6]-[#6@@](-[#6])(-[#8])-[#6:10]#[#7:11]>>[#6:10](#[#7:11])-[#1],"EVODEX.2-P5507,EVODEX.2-P5515,EVODEX.2-P5535,EVODEX.2-P5538,EVODEX.2-P5616"
EVODEX.2-D1142,[#6:1](#[#7:2])-[#1]>>[#6:1](#[#7:2])-[#6](-[#8])(-[#6])-[#6],"EVODEX.2-P5509,EVODEX.2-P5516,EVODEX.2-P5518,EVODEX.2-P5529,EVODEX.2-P5537"
EVODEX.2-D1144,[#6:9]-[#6:10](-[#8:11]-[#1])(-[#6]#[#7])-[#1:33]>>[#6:9]-[#6:10](=[#8:11])-[#1:33],"EVODEX.2-P5511,EVODEX.2-P5514,EVODEX.2-P5521,EVODEX.2-P5622,EVODEX.2-P5628"
EVODEX.2-D1146,[#8:3]=[#6:4](-[#6:5])-[#1:14]>>[#6](#[#7])-[#6@:4](-[#8:3]-[#1])(-[#6:5])-[#1:14],"EVODEX.2-P5513,EVODEX.2-P5520,EVODEX.2-P5525,EVODEX.2-P5620,EVODEX.2-P5625"
EVODEX.2-D1147,[#6:6]-[#6@:7](-[#8:8]-[#1])(-[#6]#[#7])-[#6:11]>>[#6:6]-[#6:7](=[#8:8])-[#6:11],"EVODEX.2-P5517,EVODEX.2-P5533,EVODEX.2-P5617,EVODEX.2-P5631,EVODEX.2-P5633"
EVODEX.2-D1148,[#8:3]=[#6:4](-[#6:5])-[#6:8]>>[#6](#[#7])-[#6@@:4](-[#8:3]-[#1])(-[#6:5])-[#6:8],"EVODEX.2-P5522,EVODEX.2-P5530,EVODEX.2-P5534,EVODEX.2-P5541,EVODEX.2-P5632"
EVODEX.2-D1149,[#6:1](#[#7:2])-[#1]>>[#6:1](#[#7:2])-[#6@@](-[#6])(-[#8])-[#1],"EVODEX.2-P5544,EVODEX.2-P5619,EVODEX.2-P5623,EVODEX.2-P5630,EVODEX.2-P5634"
EVODEX.2-D1150,[#8:1]=[#6:2]-[#6@@:9](-[#8:10])(-[#6@](-[#8])(-[#6@])-[#1])-[#1:25]>>[#8:1]=[#6:2]-[#6:9](-[#8:10])(-[#1:25])-[#1],"EVODEX.2-P5545,EVODEX.2-P5560,EVODEX.2-P5575,EVODEX.2-P5615,EVODEX.2-P5654"
EVODEX.2-D1151,[#6:2](=[#8:3])-[#6:4](-[#8:5])(-[#1:23])-[#1]>>[#6:2](=[#8:3])-[#6@@:4](-[#8:5])(-[#6@@](-[#6@@])(-[#8])-[#1])-[#1:23],"EVODEX.2-P5546,EVODEX.2-P5567,EVODEX.2-P5572,EVODEX.2-P5576,EVODEX.2-P5578"
EVODEX.2-D1152,[#8:11]=[#6:12](-[#6@:13])-[#1:17]>>[#8]=[#6]-[#6@@](-[#8])(-[#6@@:12](-[#8:11]-[#1])(-[#6@:13])-[#1:17])-[#1],"EVODEX.2-P5547,EVODEX.2-P5557,EVODEX.2-P5561,EVODEX.2-P5568,EVODEX.2-P5577"
EVODEX.2-D1154,[#8:1]=[#6:2]-[#6:4](=[#8:5])-[#6:6](-[#6@@](-[#8])(-[#6@])-[#1])(-[#1:14])-[#1:15]>>[#8:1]=[#6:2]-[#6:4](=[#8:5])-[#6:6](-[#1:14])(-[#1:15])-[#1],"EVODEX.2-P5549,EVODEX.2-P5581,EVODEX.2-P5651,EVODEX.2-P5653,EVODEX.2-P5659"
EVODEX.2-D1156,[#8]=[#6]-[#6](=[#8])-[#6](-[#6@:7](-[#8:8]-[#1])(-[#6@:9])-[#1:20])(-[#1])-[#1]>>[#6:7](=[#8:8])(-[#6@:9])-[#1:20],"EVODEX.2-P5552,EVODEX.2-P5573,EVODEX.2-P5648,EVODEX.2-P5652,EVODEX.2-P5657"
EVODEX.2-D1158,[#8:5](-[#6@:4](-[#6@:2])(-[#6@@](-[#8])(-[#6]=[#8])-[#1])-[#1:21])-[#1]>>[#6:4](-[#6@:2])(=[#8:5])-[#1:21],"EVODEX.2-P5554,EVODEX.2-P5558,EVODEX.2-P5564,EVODEX.2-P5569,EVODEX.2-P5574"
EVODEX.2-D1160,[#6:1](-[#6:2](=[#8:3])-[#6:4]=[#8:5])(-[#1:14])(-[#1:15])-[#1]>>[#6:1](-[#6:2](=[#8:3])-[#6:4]=[#8:5])(-[#6@@](-[#8])(-[#6])-[#1])(-[#1:14])-[#1:15],"EVODEX.2-P5582,EVODEX.2-P5583,EVODEX.2-P5647,EVODEX.2-P5658,EVODEX.2-P5663"
EVODEX.2-D1161,[#7:4]-[#6:5](-[#6:6]=[#8:7])(-[#1:15])-[#1]>>[#6]-[#6@@](-[#8])(-[#6@:5](-[#7:4])(-[#6:6]=[#8:7])-[#1:15])-[#1],"EVODEX.2-P5584,EVODEX.2-P5599,EVODEX.2-P5606,EVODEX.2-P5610,EVODEX.2-P5637"
EVODEX.2-D1162,[#8:4]=[#6:5](-[#6@:6])-[#1:18]>>[#6](-[#6]=[#8])(-[#6@:5](-[#8:4]-[#1])(-[#6@:6])-[#1:18])(-[#1])-[#1],"EVODEX.2-P5587,EVODEX.2-P5588,EVODEX.2-P5591,EVODEX.2-P5593,EVODEX.2-P5595"
EVODEX.2-D1163,[#8]-[#6@](-[#6@@])(-[#6:9](-[#6:10]=[#8:11])(-[#1:18])-[#1:19])-[#1]>>[#6:9](-[#6:10]=[#8:11])(-[#1:18])(-[#1:19])-[#1],"EVODEX.2-P5589,EVODEX.2-P5590,EVODEX.2-P5592,EVODEX.2-P5594,EVODEX.2-P5596"
EVODEX.2-D1165,[#6]-[#6@@](-[#8])(-[#6:5](-[#7:6])(-[#6:7]=[#8:8])-[#1:17])-[#1]>>[#6:5](-[#7:6])(-[#6:7]=[#8:8])(-[#1:17])-[#1],"EVODEX.2-P5598,EVODEX.2-P5604,EVODEX.2-P5611,EVODEX.2-P5641,EVODEX.2-P5643"
EVODEX.2-D1167,[#6:51]-[#6:52](=[#6:53](-[#6:54])-[#1:95])-[#1:94]>>[#6:51]-[#6:52](-[#8]-[#1])(-[#6:53](-[#6:54])(-[#1:95])-[#1])-[#1:94],"EVODEX.2-P5666,EVODEX.2-P5692,EVODEX.2-P5700,EVODEX.2-P5705,EVODEX.2-P5707"
EVODEX.2-D1168,[#6:51]-[#6:56](-[#6:55](-[#6:54])(-[#1:98])-[#1])(-[#8]-[#1])-[#1:100]>>[#6:51]-[#6:56](=[#6:55](-[#6:54])-[#1:98])-[#1:100],"EVODEX.2-P5667,EVODEX.2-P5695,EVODEX.2-P5704,EVODEX.2-P5706,EVODEX.2-P5708"
EVODEX.2-D117,[#6:6](-[#6@:5])(-[#16:7])(-[#1:30])-[#1]>>[#6:6](-[#6@:5])(-[#16:7])(-[#8]-[#1])-[#1:30],"EVODEX.2-P495,EVODEX.2-P637,EVODEX.2-P639,EVODEX.2-P643,EVODEX.2-P648"
EVODEX.2-D1171,[#6:36]-[#6:37](=[#6:38](-[#6:39])-[#6:40])-[#1:93]>>[#6:36]-[#6:37](-[#6:38](-[#6:39])(-[#6:40])-[#8]-[#1])(-[#1:93])-[#1],"EVODEX.2-P5675,EVODEX.2-P5678,EVODEX.2-P5680,EVODEX.2-P5746,EVODEX.2-P5748"
EVODEX.2-D1174,[#6:8]/[#6:9](=[#6:10](\[#6:11](/[#6:12](=[#6:13](\[#6:14])-[#1:41])-[#1:40])(-[#1:38])-[#1])-[#1:37])-[#1:36]>>[#6:8]/[#6:9](=[#6:10](-[#6:11](=[#6:12](\[#6:13](-[#6:14])(-[#1:41])-[#1])-[#1:40])\[#1:38])/[#1:37])-[#1:36],"EVODEX.2-P5710,EVODEX.2-P5711,EVODEX.2-P5845,EVODEX.2-P5860,EVODEX.2-P5861"
EVODEX.2-D1175,[#6:4]-[#6:7](-[#7:8](-[#1])-[#1])=[#8]>>[#6:4]-[#6:7]#[#7:8],"EVODEX.2-P5716,EVODEX.2-P5725,EVODEX.2-P5728,EVODEX.2-P5735,EVODEX.2-P5737"
EVODEX.2-D1176,[#6:3]-[#6:4]#[#7:5]>>[#6:3]-[#6:4](-[#7:5](-[#1])-[#1])=[#8],"EVODEX.2-P5717,EVODEX.2-P5722,EVODEX.2-P5736,EVODEX.2-P5740,EVODEX.2-P5743"
EVODEX.2-D1178,[#6]-[#6](-[#7])=[#8:8]>>[#8:8](-[#1])-[#1],"EVODEX.2-P5720,EVODEX.2-P5723,EVODEX.2-P5724,EVODEX.2-P5741,EVODEX.2-P5742"
EVODEX.2-D1179,[#8:14](-[#1])-[#1]>>[#6]-[#6](-[#7])=[#8:14],"EVODEX.2-P5727,EVODEX.2-P5731,EVODEX.2-P5733,EVODEX.2-P5734,EVODEX.2-P5739"
EVODEX.2-D1181,[#8](-[#6@])-[#6@@:8]1(-[#6@:9]-[#6@@:11](-[#8:12])(-[#6@@:13](-[#8:14])(-[#8:27]-[#6@@:28]-1(-[#6:29]=[#8:30])-[#1])-[#1:46])-[#1:44])-[#1:41]>>[#6:8]1(=[#6:28](-[#6:29]=[#8:30])-[#8:27]-[#6@:13](-[#8:14])(-[#6@:11](-[#8:12])(-[#6@:9]-1)-[#1:44])-[#1:46])-[#1:41],"EVODEX.2-P5750,EVODEX.2-P5751,EVODEX.2-P5754,EVODEX.2-P5755,EVODEX.2-P5756"
EVODEX.2-D1183,[#6:15]/[#6:16](-[#6:17](-[#1:54])(-[#1:55])-[#1])=[#6:18](/[#6:19](-[#8]-[#15]=[#8])(-[#1:58])-[#1:59])-[#1:57]>>[#6:15]-[#6:16](=[#6:17](-[#1:54])-[#1:55])-[#6:18](=[#6:19](-[#1:58])-[#1:59])-[#1:57],"EVODEX.2-P5762,EVODEX.2-P5764,EVODEX.2-P5766,EVODEX.2-P5768,EVODEX.2-P5769"
EVODEX.2-D1185,[#7:1](-[#6@@:2](-[#6:3]-[#6:4]-[#6:5](=[#8:6])-[#7](-[#6])-[#1])(-[#6:13]=[#8:14])-[#1:18])(-[#1])-[#1]>>[#7:1]1(-[#6@:2](-[#6:13]=[#8:14])(-[#6:3]-[#6:4]-[#6:5]-1=[#8:6])-[#1:18])-[#1],"EVODEX.2-P5784,EVODEX.2-P5786,EVODEX.2-P5789,EVODEX.2-P5791,EVODEX.2-P5792"
EVODEX.2-D1186,[#6:3]-[#16:4](=[#8:5])-[#6](-[#6@])(-[#1])-[#1]>>[#6:3]-[#16:4]-[#8:5]-[#1],"EVODEX.2-P5793,EVODEX.2-P5802,EVODEX.2-P5805,EVODEX.2-P5808,EVODEX.2-P5809"
EVODEX.2-D1188,[#8](/[#7:2]=[#6:3](\[#6:4])-[#1])-[#1]>>[#7:2]#[#6:3]-[#6:4],"EVODEX.2-P5815,EVODEX.2-P5820,EVODEX.2-P5821,EVODEX.2-P5823,EVODEX.2-P5824"
EVODEX.2-D1189,[#6:4]-[#6@:5](-[#7:6])(-[#6:7]=[#8:9])-[#1:19]>>[#6:4]-[#6@@:5](-[#7:6])(-[#6:7]=[#8:9])-[#1:19],"EVODEX.2-P5825,EVODEX.2-P5826,EVODEX.2-P5831,EVODEX.2-P5832,EVODEX.2-P5833,EVODEX.2-P5834,EVODEX.2-P5835,EVODEX.2-P5843,EVODEX.2-P5844,EVODEX.2-P5865"
EVODEX.2-D1191,[#8:1]=[#6:2](-[#6@:3](-[#8:4]-[#1])(-[#6:5])-[#1])-[#1:11]>>[#8:1](-[#6:2](-[#6:3](=[#8:4])-[#6:5])(-[#1:11])-[#1])-[#1],"EVODEX.2-P5846,EVODEX.2-P5847,EVODEX.2-P5848,EVODEX.2-P5849,EVODEX.2-P5851"
EVODEX.2-D1192,[#6:8](-[#6@@:6])(=[#8:9])-[#6:10](-[#8:11]-[#1])(-[#1:21])-[#1]>>[#8:9](-[#6@:8](-[#6@@:6])(-[#6:10](=[#8:11])-[#1:21])-[#1])-[#1],"EVODEX.2-P5850,EVODEX.2-P5853,EVODEX.2-P5855,EVODEX.2-P5856,EVODEX.2-P5857"
EVODEX.2-D1193,[#8:1]=[#6:2](-[#6:3])-[#6@@:9](-[#8:10]-[#1])(-[#6:11])-[#1]>>[#8:1](-[#6@:2](-[#6:3])(-[#6:9](=[#8:10])-[#6:11])-[#1])-[#1],"EVODEX.2-P5854,EVODEX.2-P5858,EVODEX.2-P5859"
EVODEX.2-D12,[#6:5]-[#6:6](=[#8:7])-[#6:8]=[#6:9]>>[#6:5]-[#6@:6](-[#8:7]-[#1])(-[#6:8]=[#6:9])-[#1],"EVODEX.2-P22,EVODEX.2-P23,EVODEX.2-P25,EVODEX.2-P27,EVODEX.2-P29,EVODEX.2-P34,EVODEX.2-P73,EVODEX.2-P76,EVODEX.2-P93,EVODEX.2-P99"
EVODEX.2-D120,[#6]-[#6](-[#8:10]-[#16:11](=[#8:12])=[#8:13])(-[#1])-[#1]>>[#8:10](-[#16:11](=[#8:12])=[#8:13])-[#1],"EVODEX.2-P2671,EVODEX.2-P4045,EVODEX.2-P4055,EVODEX.2-P509,EVODEX.2-P510"
EVODEX.2-D122,[#6:6]-[#6@@:7](-[#6:8])(-[#6:9](=[#8:10])-[#6:11])-[#1:72]>>[#6:6]-[#6@@:7](-[#6:8])(-[#8]-[#6:9](=[#8:10])-[#6:11])-[#1:72],"EVODEX.2-P519,EVODEX.2-P536,EVODEX.2-P542,EVODEX.2-P543,EVODEX.2-P563"
EVODEX.2-D1249,[#8]=[#6](-[#8:82]-[#1])-[#6]>>[#8]-[#15](=[#8])(-[#8])-[#8:82]-[#1],"EVODEX.2-P5985,EVODEX.2-P6051,EVODEX.2-P6066,EVODEX.2-P6102,EVODEX.2-P6277"
EVODEX.2-D125,[#8]=[#8:61]>>[#6]-[#6@](-[#6])(-[#8:61]-[#6](-[#6])=[#8])-[#1],"EVODEX.2-P522,EVODEX.2-P545,EVODEX.2-P554,EVODEX.2-P562,EVODEX.2-P565"
EVODEX.2-D128,[#8:49]=[#6:50](-[#6:51](-[#6:52])(-[#1:88])-[#1:89])-[#6:55]>>[#8:49]=[#6:50](-[#6:55])-[#8]-[#6:51](-[#6:52])(-[#1:88])-[#1:89],"EVODEX.2-P530,EVODEX.2-P535,EVODEX.2-P551,EVODEX.2-P552,EVODEX.2-P556"
EVODEX.2-D13,[#6:5]-[#6@:6](-[#8:7]-[#1])(-[#6:8]=[#6:9])-[#1]>>[#6:5]-[#6:6](=[#8:7])-[#6:8]=[#6:9],"EVODEX.2-P24,EVODEX.2-P26,EVODEX.2-P28,EVODEX.2-P30,EVODEX.2-P31,EVODEX.2-P66,EVODEX.2-P67,EVODEX.2-P94,EVODEX.2-P96,EVODEX.2-P98"
EVODEX.2-D130,[#8]=[#8:59]>>[#8]=[#6](-[#6])-[#8:59]-[#6](-[#6])(-[#1])-[#1],"EVODEX.2-P532,EVODEX.2-P533,EVODEX.2-P557,EVODEX.2-P566,EVODEX.2-P604"
EVODEX.2-D1303,[#7:8]-[#6@@:9](-[#6:10]-[#6:11]-[#6:12](=[#8:13])-[#8]-[#1])(-[#6:15]=[#8:16])-[#1:76]>>[#6]-[#7](-[#6:12](-[#6:11]-[#6:10]-[#6@:9](-[#7:8])(-[#6:15]=[#8:16])-[#1:76])=[#8:13])-[#1],"EVODEX.2-P6146,EVODEX.2-P6171,EVODEX.2-P6176,EVODEX.2-P6195,EVODEX.2-P6204"
EVODEX.2-D135,[#6:3]-[#7:4](-[#6](-[#6])(-[#1])-[#1])-[#1]>>[#6:3]-[#7:4](-[#1])-[#1],"EVODEX.2-P1005,EVODEX.2-P1299,EVODEX.2-P1304,EVODEX.2-P1314,EVODEX.2-P578"
EVODEX.2-D136,[#6:1]-[#6:2](=[#8:3])-[#6@@](-[#8])(-[#6])-[#6@]>>[#6:1]-[#6:2](=[#8:3])-[#8]-[#1],"EVODEX.2-P3683,EVODEX.2-P3685,EVODEX.2-P3747,EVODEX.2-P3794,EVODEX.2-P587"
EVODEX.2-D137,[#6:1](-[#6:2])(-[#1:73])(-[#1:74])-[#1]>>[#6:1](-[#6:2])(-[#8]-[#1])(-[#1:73])-[#1:74],"EVODEX.2-P622,EVODEX.2-P623,EVODEX.2-P634,EVODEX.2-P681,EVODEX.2-P682"
