id,smirks,sources
EVODEX.1-E1095,[P:31][O:34][P:35](=[O:36])([O:37])[O:38]>>[H][O:34][P:31].[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[P:35](=[O:36])([O:37])[O:38],EVODEX.1-P4856
EVODEX.1-E1096,[C:18][C:19](=[O:20])[H:35]>>[H]OC(=O)C(C([H])([H])[H])=[O:20].[H]N([H])[C:19]([H])([C:18])[H:35],"EVODEX.1-P3977,EVODEX.1-P3979,EVODEX.1-P3982,EVODEX.1-P3984,EVODEX.1-P4011"
EVODEX.1-E1097,[C:3][C:4]([C:5])=[O:6]>>[H]N([H])[C@@:4]([H])([C:3])[C:5].[H]OC(=O)C(C([H])([H])[H])=[O:6],"EVODEX.1-P4104,EVODEX.1-P4145,EVODEX.1-P4147,EVODEX.1-P4149,EVODEX.1-P4153"
EVODEX.1-E1098,[C:11][C:12]([C:13]([C:14])([H:29])[H:30])([H:31])[H:32]>>[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[C:12]([C:11])([H:31])[H:32].[H][C:13]([C:14])([H:29])[H:30],"EVODEX.1-P3995,EVODEX.1-P3999,EVODEX.1-P4265"
EVODEX.1-E1099,[C:2][C:4](=[O:5])[C:6]=[O:7]>>[H]N([H])[C@@:4]([H])([C:2])[C:6]=[O:7].[H]OC(=O)C([H])([H])C([H])=[O:5],"EVODEX.1-P4107,EVODEX.1-P4115"
EVODEX.1-E1100,[C:9][C:11](=[O:12])[H:20]>>[H]C([H])([H])C(=O)C([H])([H])[C:11]([C:9])([O:12][H])[H:20],"EVODEX.1-P7583,EVODEX.1-P7590,EVODEX.1-P8919,EVODEX.1-P8954,EVODEX.1-P8956"
EVODEX.1-E1101,[O:6]=[C:7]([C:8])[H:22]>>[H]O[C@@]([H])(C(=O)C([H])([H])[H])[C@@:7]([O:6][H])([C:8])[H:22],"EVODEX.1-P7580,EVODEX.1-P7582,EVODEX.1-P7587,EVODEX.1-P7591,EVODEX.1-P7592"
EVODEX.1-E1102,[H]O[C:18]([C:17])=[O:19]>>[H]OC([H])([H])C(O[H])(C([H])([H])O[H])[C:18]([C:17])=[O:19],"EVODEX.1-P5734,EVODEX.1-P5744,EVODEX.1-P5762,EVODEX.1-P5766,EVODEX.1-P5770"
EVODEX.1-E1103,[C:1][C:2](=[O:3])[C:4]=[O:5]>>[H]OC(=O)[C@@]([H])(C([H])([H])[H])[C@@:2]([C:1])([O:3][H])[C:4]=[O:5],"EVODEX.1-P9031,EVODEX.1-P9033,EVODEX.1-P9038,EVODEX.1-P9042"
EVODEX.1-E1104,[C:4][C:6](=[O:7])[O:8][H:65]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:6]([C:4])=[O:7])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:8][H:65],"EVODEX.1-P5406,EVODEX.1-P5454,EVODEX.1-P5522,EVODEX.1-P5546,EVODEX.1-P5551"
EVODEX.1-E1105,[H][C@:4]([C:2])([N:5]([H:23])[H:24])[C:6]=[O:7]>>O=[C:4]([C:2])[C:6]=[O:7].[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)O[H])[N:5]([H:23])[H:24],EVODEX.1-P4554
EVODEX.1-E1106,[H][O:2][C:1]>>[H]OC(=O)[C@]1([H])O[C@]([H])([O:2][C:1])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],"EVODEX.1-P3313,EVODEX.1-P3316,EVODEX.1-P3320,EVODEX.1-P3321,EVODEX.1-P3411"
EVODEX.1-E1107,[H]O>>[H]OC([H])([H])[C@]1([H])O[C@@]([H])(O)[C@]([H])(O[H])[C@@]1([H])O[H],"EVODEX.1-P6041,EVODEX.1-P6719,EVODEX.1-P6720,EVODEX.1-P6721"
